Geneid	incl0801.srt.bam	incl0802.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
LOC105606122	2	61	27	27	16	1	15	55	1	55	59	66
LOC101122769	0	0	15	13	0	0	4	11	0	0	13	0
LOC101122261	0	0	95	73	0	2	5	28	4	31	58	0
LOC105606118	0	12	65	38	12	9	28	109	97	237	76	63
LOC105606117	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606116	3	0	0	0	0	0	3	1	0	0	0	0
LOC105606114	0	0	2	0	0	0	2	0	0	0	3	0
LOC105606115	0	0	1	0	0	0	0	0	0	0	0	0
LOC101122009	0	0	0	0	0	0	0	0	0	4	0	0
LOC101121756	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606113	0	2	5	10	0	0	3	3	2	7	0	0
LOC101121500	0	0	9	7	0	0	43	6	0	0	17	4
LOC101120995	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120735	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120480	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606111	1	2	0	0	14	1	1	0	0	1	0	0
LOC443162	0	0	0	10	1	0	0	0	4	72	0	0
LOC105606110	0	0	0	0	0	0	0	0	0	0	1	0
LOC106990114	0	6	0	3	8	0	5	15	0	1	0	23
LOC105606108	0	0	0	0	0	0	0	0	0	0	44	0
LOC101119195	0	0	0	1	0	0	0	0	0	0	0	1
LOC105606107	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606106	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606105	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606104	0	0	0	1	0	0	0	0	0	0	0	0
LOC101118429	406	717	924	953	652	323	774	1325	37	413	769	540
LOC101118174	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606103	0	0	0	0	0	2	0	0	0	0	0	0
LOC105606102	0	0	0	0	0	0	0	0	0	0	0	0
LOC101117914	0	0	0	0	0	0	0	0	0	0	0	0
LOC101117402	0	0	0	0	2	0	1	0	6	134	0	0
LOC101117146	0	2	0	8	32	0	11	4	2	44	0	5
LOC101116892	0	41	0	5	0	36	3	0	1	89	0	0
LOC101116639	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116386	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606101	0	0	4	0	0	0	0	0	0	0	0	0
LOC105606099	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606098	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606097	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115864	0	0	0	1	0	0	0	0	0	0	0	0
LOC105606096	0	0	43	32	2	6	18	4	0	0	11	22
LOC105606095	135	256	273	75	202	164	49	294	99	541	205	169
LOC101115610	1	15	25	12	2	9	22	15	0	0	17	29
LOC101115353	4857	4869	5716	14843	7854	5459	7811	9283	0	35	7557	7383
LOC101115105	0	0	0	0	0	0	48	0	0	0	0	0
LOC101114853	0	0	57	26	6	11	29	49	2	0	47	5
LOC101114596	0	0	0	0	0	0	0	2	0	0	0	0
SYT2	10	2	21	25	10	0	17	24	0	0	12	10
LOC106992040	0	0	6	0	0	0	8	3	0	0	18	3
LOC101113832	0	0	10	0	0	0	0	0	0	0	0	0
LOC105606089	0	1	5	0	2	0	0	3	0	0	1	2
LOC105606088	0	0	5	0	0	0	0	0	4	69	57	0
LOC101112551	0	0	0	0	0	0	2	18	0	0	0	0
LOC101112800	5	0	0	0	0	0	4	51	0	0	0	0
LOC101112300	1302	1537	1760	640	788	999	3030	1442	0	0	1303	673
LOC105606087	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606083	18	2	0	0	6	0	0	0	0	0	0	0
LOC105606082	2	4	9	0	0	0	0	6	0	0	12	8
LOC105606081	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606080	0	0	1	0	0	0	0	0	0	0	0	0
LOC101111266	0	0	0	0	0	0	1	0	0	0	0	0
LOC101111531	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606076	0	0	0	0	0	1	2	0	2	3	0	0
LOC105606075	0	0	0	0	0	0	0	0	2	18	1	0
LOC105606074	0	0	0	0	0	0	0	0	0	0	0	3
PPP1R16A	0	0	5	2	0	0	4	0	6	56	0	31
GPT	0	6	21	2	10	0	0	0	18	266	64	38
LOC105606073	0	2	76	0	7	18	2	2	76	10	58	16
LOC105606072	12	10	90	123	8	5	0	2	0	5	40	4
LOC105606070	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606069	0	0	0	0	0	0	0	0	0	0	0	0
LOC101109686	0	0	0	0	0	2	0	0	0	24	0	0
LOC101109428	0	0	0	0	6	0	0	0	0	10	0	0
LOC101108900	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108639	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606067	0	0	3	8	0	0	5	0	0	5	17	2
LOC101108375	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108116	0	0	0	0	0	0	0	0	0	0	0	0
LOC101107852	0	0	0	0	0	0	0	0	0	0	0	0
LOC101107586	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606066	21	35	42	20	24	15	19	22	7	53	30	15
LOC105606065	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606064	0	1	0	0	0	2	1	2	1	9	0	1
LOC105606063	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606062	24	55	123	38	0	26	9	120	7	163	107	39
LOC106992039	0	0	16	0	0	0	0	0	0	0	6	10
LOC101107342	0	0	72	29	0	1	0	6	0	0	55	88
LOC106990512	0	0	0	12	0	0	0	0	0	0	0	0
LOC106992038	0	0	0	0	1	0	0	0	0	0	0	0
LOC101113151	18	15	16	13	29	4	4	39	0	20	26	8
LOC101106834	0	48	312	603	0	4	244	276	0	0	1036	352
LOC101106577	0	0	0	0	0	0	0	5	0	0	0	0
LOC101106315	0	0	0	0	0	0	0	2	0	0	0	0
LOC101106065	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105810	0	0	0	20	2	0	0	0	0	0	0	0
LOC105606059	3	0	3	0	0	0	0	0	0	0	0	0
LOC105606058	4	0	1	0	0	4	0	0	0	0	0	0
LOC101105065	1063	2195	509	219	1640	774	368	523	289	2140	200	149
LOC105606057	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104818	348	381	1877	1153	129	186	4340	1015	68	40	1200	1578
LOC101104566	203	252	180	106	440	209	255	211	21	201	117	91
LOC106992037	60	19	0	9	15	86	0	0	6	47	4	6
LOC105606054	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606053	0	62	161	235	42	99	85	12	9	103	0	62
LOC101103550	0	16	18	22	0	2	10	12	4	10	4	13
LOC101103307	134	655	139	614	314	172	35	485	0	0	47	1267
CECR6	2	0	0	0	0	0	0	10	0	0	10	0
LOC105606051	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606050	0	0	0	0	58	0	0	0	0	0	8	0
LOC101102799	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102551	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102299	0	0	2	0	0	0	0	0	0	0	0	0
LOC101123359	595	693	1193	333	500	493	597	396	305	2395	1477	598
LOC101122848	4	0	170	0	14	2	19	314	12	146	86	2
LOC105606049	0	0	39	7	0	0	0	0	0	0	0	0
LOC101122587	0	12	19	0	11	1	2	5	3	0	26	16
LOC105606048	26	53	13	21	0	15	12	2	3	0	0	5
LOC101122341	75	46	424	537	51	125	323	950	0	27	250	151
LOC101122092	0	8	3	8	0	14	1	12	12	19	12	8
LOC105606047	0	0	0	0	0	0	0	0	0	0	5	0
LOC105606046	0	0	0	1	0	0	0	1	0	0	0	0
LOC101121333	0	0	0	8	0	29	0	5	0	0	0	0
LOC101121082	0	0	0	0	0	2	0	6	0	0	0	0
LOC101120818	2	5	6	18	4	2	3	26	6	39	10	12
MRPS2	2	2	8	10	13	0	0	6	13	52	4	0
LCN10	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606044	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606045	0	0	0	0	0	0	0	0	0	0	0	0
LOC101119804	2	26	0	0	2	0	0	0	2	8	0	0
LOC105606042	0	0	0	0	0	0	0	0	0	0	0	0
NPPC	0	24	223	130	18	0	4	7	0	0	689	74
LOC105601850	0	4	51	6	0	0	0	0	0	0	2	18
LOC101119029	0	0	0	0	0	0	33	0	0	0	0	10
LOC105606040	0	0	0	6	0	0	0	0	0	0	0	0
LOC105606039	0	0	0	16	0	0	0	0	2	174	0	0
LOC101118770	0	2	1	0	0	0	2	0	0	0	2	0
LOC101119576	1383	1360	4832	4627	1297	1150	7426	7978	472	3996	5156	6724
LOC101118256	0	0	0	1	0	0	1	0	0	0	0	1
LOC101117232	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606037	0	0	109	218	0	5	80	59	2	0	143	8
LOC105606036	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116715	0	0	0	1	0	0	0	0	0	0	0	0
LOC105606035	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606034	0	0	0	0	0	0	0	2	0	0	0	0
LOC101116464	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116217	0	1	0	2	3	0	0	0	2	0	0	2
TRNAC-ACA	0	2	0	0	4	0	0	0	2	3	2	0
LOC105606031	0	0	4	2	0	0	0	0	0	0	0	10
LOC105606030	0	0	0	0	0	0	2	0	0	0	0	0
LOC105606029	0	0	3	2	0	0	0	0	0	0	0	3
LOC443313	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115104	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606028	0	0	0	13	0	0	0	0	0	0	0	0
LOC105606027	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606026	1	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC	3	0	12	5	1	0	0	0	2	4	0	1
LOC101114504	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606024	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606023	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114000	0	1	1	0	1	0	0	0	0	0	0	0
LOC101113741	12	0	1	0	0	0	0	0	0	0	0	0
LOC101113478	0	0	0	0	0	0	0	0	0	0	0	0
LOC100846990	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113217	0	10	0	0	0	0	0	0	0	0	1	0
LOC101112964	0	0	0	7	0	0	5	0	0	2	0	0
LOC105606022	5374	12729	9452	25493	7620	10648	25157	14190	0	8	10272	5739
LOC105606021	0	0	0	0	0	0	0	0	0	0	0	1
LOC101112713	0	0	0	0	0	34	0	0	0	0	0	0
LOC101112465	0	0	0	0	0	0	0	0	0	0	0	0
LOC101112208	33	38	431	276	3	22	225	213	0	19	914	159
LOC101111949	0	0	0	0	0	0	0	5	0	0	0	2
LOC101111437	0	0	0	0	0	0	0	0	0	0	0	0
LOC101111174	49	64	39	0	97	93	4	27	0	0	29	16
LOC105613971	0	0	0	0	0	0	0	0	0	0	0	1
LOC101110921	0	0	1	0	0	2	3	13	0	0	5	0
LOC105606018	6	17	18	14	0	2	38	6	0	0	2	9
LOC105606017	0	0	0	0	0	0	0	0	10	10	0	0
LOC105606016	12	0	0	0	2	0	1	21	0	25	9	46
LOC101110404	0	0	0	1	0	0	0	0	0	0	0	0
LOC101110134	0	37	0	0	2	0	2	0	0	0	0	0
LOC105606015	8	54	16	0	134	8	16	139	24	173	3	17
LOC101109870	165	2	4	3	0	15	4	1	0	0	7	1
LOC101109081	0	0	0	0	0	0	0	0	0	0	0	2
LOC101108819	0	0	0	0	0	0	10	0	0	0	0	0
LOC105606011	185	1008	414	2400	532	646	1202	2272	0	0	605	259
LOC105606009	0	0	11	0	0	0	0	4	0	0	8	0
LOC101108297	0	2	0	4	0	0	1	21	0	0	4	0
LOC105606008	0	0	0	24	0	0	1	0	0	5	0	3
LOC105614484	0	16	34	67	16	5	0	46	0	0	0	10
LOC443035	0	0	0	5	0	0	0	0	0	4	2	0
LOC105606007	0	0	4	9	0	0	8	12	0	26	0	8
LOC105606006	0	0	25	12	0	0	11	2	0	0	9	2
LOC105606005	0	2	0	0	0	0	0	0	0	0	0	4
LOC105606004	0	0	13	13	0	0	0	0	0	1	0	0
LOC101106752	0	0	0	0	0	0	0	0	0	0	1	0
LOC105612641	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106243	0	7	0	0	0	0	0	0	0	0	0	0
LOC105606001	56	10	234	0	89	18	162	58	82	741	63	89
LOC105606002	0	0	1	0	0	0	0	0	2	6	9	0
LOC101105989	0	0	0	0	0	0	0	0	0	23	0	0
CYP2C19	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606000	17	14	57	81	23	22	158	115	0	107	61	80
LOC101105483	2	0	0	5	0	0	3	0	0	0	0	2
LOC105605999	0	0	9	0	0	0	0	0	0	0	0	0
LOC101105228	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104974	0	0	0	0	0	18	0	0	0	0	0	0
LOC101104726	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104468	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104216	0	0	2	0	0	0	0	0	0	0	0	0
LOC101103958	0	3	0	0	0	0	0	0	0	0	0	0
LOC101103707	0	0	13	9	0	0	0	10	0	0	31	7
LOC105605996	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605995	0	78	75	154	0	0	49	90	4	31	150	25
LOC101103460	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103220	912	1085	358	132	692	1076	307	995	296	8527	507	506
LOC105605992	0	1	0	8	0	0	9	14	0	1	0	0
LOC101102967	5	0	0	34	6	1	0	1	0	4	9	0
LOC101102215	0	0	0	0	0	4	6	14	10	209	46	59
LOC101102464	0	0	0	0	0	0	0	1	0	0	0	2
LOC105605991	0	0	2	0	0	0	0	0	0	0	0	0
LOC101123279	2342	2483	674	202	3918	3096	676	1593	1374	7741	967	1230
TRNAS-GGA	11	5	0	0	7	0	5	0	12	49	4	4
LOC105605990	0	0	0	0	0	0	0	159	0	0	0	0
LOC105605988	0	0	0	0	0	0	2	0	0	0	0	0
LOC101122847	0	0	0	0	0	0	4	0	0	0	0	1
LOC101122586	0	0	0	0	0	0	0	0	0	0	0	0
LOC101122340	0	0	14	86	0	0	45	0	0	0	400	116
SLC2A5	0	1	36	30	0	0	53	24	2	44	0	0
LOC105605987	0	0	0	8	0	0	0	0	0	0	0	0
LOC101121839	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605986	0	0	0	0	0	1	0	0	0	0	0	0
LOC101121584	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121331	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121080	0	0	0	0	0	0	0	0	0	0	0	22
LOC101120817	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605984	2	0	0	0	0	0	0	0	0	0	0	0
LOC101120560	4	0	40	0	1	5	0	0	47	294	0	0
LOC101120064	4	18	141	60	0	0	60	35	0	0	65	0
PSMG4	36	90	158	31	64	64	58	43	64	297	131	187
LOC101119545	1	22	33	123	0	3	2	51	0	0	9	7
LOC101119028	0	0	0	3	0	0	0	0	0	0	0	0
TRNAW-CCA	4	4	2	23	33	49	15	5	12	55	4	19
LOC101118597	105	156	813	739	139	125	276	970	47	376	411	738
LOC443259	8	2	63	110	3	10	80	68	0	0	48	37
LOC105605981	0	0	0	22	0	10	21	9	0	0	0	0
LOC106990116	1	0	0	13	0	0	2	0	0	0	7	1
EP4A	0	0	0	0	0	1	0	0	0	0	0	0
LOC101107641	7	6	0	103	2	0	0	14	0	0	0	0
TRNAC-GCA	11	4	12	76	48	55	44	41	21	104	31	66
LOC105605980	0	0	0	0	0	0	0	0	0	0	2	1
LOC105605978	107	243	376	35	0	42	17	31	2	43	0	71
LOC101117231	0	0	0	0	0	0	0	0	1	19	0	0
TNFSF14	0	0	0	0	0	0	2	6	0	0	8	0
LGALS15	17	31	38	36	97	53	28	69	0	4	17	63
LOC101115949	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115196	0	0	0	0	0	0	0	0	0	0	0	0
LOC106990592	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114430	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114179	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113923	8	0	138	11	58	0	49	173	0	0	132	0
LOC101113476	0	0	0	0	0	0	0	0	0	0	0	0
LOC101113215	4	0	0	0	2	0	0	0	0	0	0	0
LOC101112463	1	0	0	0	0	0	0	0	0	0	0	0
LOC101112206	0	0	0	0	0	2	0	0	0	0	0	0
LOC101111947	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605975	15	0	0	0	0	0	0	2	0	0	0	30
LOC105605974	10	87	65	177	207	0	152	244	0	0	381	202
LOC106992036	0	4	1	119	12	4	4	57	0	0	116	125
LOC101111435	0	0	0	0	0	0	0	0	0	0	0	0
LOC105613935	0	0	0	0	0	0	0	0	0	0	0	0
LOC105613933	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110403	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605971	0	0	0	0	0	0	0	0	0	8	15	0
LOC105605970	0	55	55	170	0	0	56	41	0	0	78	61
LOC101110133	265	316	1040	554	300	166	1308	735	23	192	661	257
LOC105605969	0	0	1	0	14	0	5	10	7	6	3	0
LOC101109603	5852	7583	19036	62644	3463	4156	805	8986	6	76	39423	20869
LOC106992035	129	93	363	393	0	100	70	208	3	182	197	242
LOC106992034	0	0	0	3	2	0	21	2	0	1	0	14
LOC101109343	10	5	26	5	25	3	10	2	0	15	127	21
LOC101109080	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605967	0	0	0	0	0	0	0	0	0	0	0	0
LOC101108558	14	163	55	28	0	1	19	5	0	8	5	53
LOC101108296	0	0	0	0	0	0	0	0	0	0	0	0
LOC105612408	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605965	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605964	0	0	0	0	0	0	0	0	0	1	0	0
LOC101107772	568	587	2	596	782	585	0	0	4	0	4	21
LOC105605963	8	0	120	162	0	0	230	187	6	26	216	24
LOC101107508	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605962	12	0	32	71	0	0	0	0	0	0	63	9
LOC101107262	0	0	0	26	0	8	56	197	0	14	0	180
LOC101107004	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106751	54	249	3239	3946	34	3	3524	2240	18	554	3519	985
LOC105605961	170	37	2	253	253	123	0	3	4	0	33	0
LOC101106242	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605960	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105987	0	2	0	0	0	0	0	0	0	15	0	0
LOC105605959	0	2	0	0	0	0	0	4	0	0	0	0
LOC101105731	0	0	0	0	0	0	0	1	0	0	3	0
LOC106992033	0	0	0	0	0	0	6	0	0	0	0	0
LOC105605958	21	0	156	32	20	64	86	115	18	464	2	123
LOC105605957	0	0	0	0	2	0	12	0	0	0	0	0
LOC101105481	0	0	0	0	10	0	0	9	0	0	0	8
LOC101104972	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104725	33	41	24	13	49	70	18	73	325	2457	37	59
LOC105605956	0	0	52	0	0	0	0	0	0	0	0	0
TNNT3	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104215	71	0	12	0	0	0	4	2	0	0	0	0
LOC105605954	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605953	0	0	11	19	29	2	6	4	0	0	45	2
LOC106992032	0	0	0	86	0	0	1	0	0	0	0	0
LOC101103705	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605952	152	32	407	207	141	117	24	117	2	0	25	631
LOC105614584	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605951	4399	5321	2126	2175	4588	3748	2880	3914	299	1208	1187	2483
LOC101102708	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102463	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605950	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102213	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605948	0	16	39	72	5	1	32	44	0	21	107	3
LOC101123538	0	0	0	0	0	0	0	0	0	0	0	0
LOC101123277	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA	2	0	21	22	0	0	30	1	0	1	5	0
LOC101122585	0	0	0	0	0	0	0	0	0	0	0	0
LOC101122339	0	0	0	0	0	0	0	0	0	0	0	0
LOC101122089	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121838	611	456	108	6	114	368	0	38	4	71	32	0
LOC101121583	0	0	0	0	0	0	0	0	0	5	0	3
LOC101121330	0	0	0	0	0	0	0	0	0	0	0	0
LOC106992031	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120816	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120559	0	12	8	3	4	3	3	16	0	0	2	4
LOC105605944	0	0	0	2	0	0	0	0	0	0	0	0
LOC105605943	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605942	0	0	0	0	0	10	0	0	0	3	0	0
LOC105605941	14	12	30	38	40	36	110	54	0	8	23	89
LOC105605939	10989	4378	2805	3167	7034	3031	5062	4036	169	287	2559	3563
LOC105605940	337	423	113	39	586	214	173	138	2	34	51	130
LOC105605938	15	54	0	0	46	9	7	0	6	0	0	2
LOC101120311	287	179	1	0	274	107	0	0	1	3	1	2
LOC101120063	1	1	0	0	1	10	0	3	0	0	1	0
LOC105605937	663	1128	1235	1147	933	799	1555	602	78	562	178	1525
LOC101119802	0	0	0	0	2	0	0	0	0	0	0	0
LOC101119544	0	0	0	0	0	0	0	0	0	0	0	0
LOC101119289	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605935	0	1	2	1	0	0	0	1	0	0	0	0
LOC101119027	78	56	539	116	88	59	992	265	10	125	1083	208
LOC106992030	0	0	0	1	0	0	0	0	0	0	0	0
LOC105605934	1	6	97	89	10	0	29	78	0	41	8	57
LOC105605933	0	2	14	0	0	0	0	0	0	0	0	0
